time,I_bus9_1_rms,I_bus9_2_rms,I_bus37_1_rms,I_bus37_2_rms,I_bus9_1_P,I_bus9_2_P,I_bus37_1_P,I_bus37_2_P,I_bus9_1_Q,I_bus9_2_Q,I_bus37_1_Q,I_bus37_2_Q,total_P,total_Q,grid_stability
0.0,8036.340755022972,278.36411967454546,63.681744295306814,10.02784000215152,16406.27444967789,568.283287573278,130.00695293937002,20.471941176701147,10167.695704475349,352.19035008264126,80.57107303721315,12.687369640381883,17125.03663136724,10613.144497235586,unstable
0.0003255208333333,7424.631337601603,257.0916513503531,63.08555171347173,10.232970620947988,15157.463219343388,524.8553190254484,128.78981949261632,20.890717499482584,9393.752014741327,325.27611244677576,79.81676147450649,12.946903895482947,15831.999075360935,9811.791792558093,unstable
0.0029417366009066,7587.1565600959075,262.81044920759143,59.12584135786858,9.607671052523878,15489.260176008014,536.5303051949235,120.70602901936489,19.61416183247469,9599.381300133608,332.51161902624244,74.806878095872,12.15576574819841,16166.110672054776,10018.855563003923,unstable
0.0042154007087176,8160.857960285844,282.3288855925621,57.12579335910052,9.393593537227781,16660.477638109478,576.3773990305422,116.6229099256644,19.17712032608291,10325.236691309841,357.2066298326843,72.27638815452548,11.88491174896494,17372.655067391766,10766.604621046015,stable
0.0061462296774397,8388.367717671857,290.4325413939807,59.79190379619801,9.777887263114287,17124.941208462886,592.9210978577354,122.06580251540838,19.9616600224917,10613.085359430856,367.45949351708333,75.64959002155551,12.371125784066775,17859.88976885852,11068.56556875356,stable
0.0076497395833333,8134.8317950854125,281.6823445660921,62.421692875687924,10.673002788315245,16607.34494722849,575.0574787027969,127.43454467033881,21.789047812318252,10292.308006952224,356.388616682421,78.97683757641973,13.50363902087874,17331.626018413943,10741.177100231944,stable
0.0093349748343715,8176.085232630437,283.06915103427525,60.75432573228654,10.719962617291714,16691.56427527693,577.8886587409728,124.03059705326935,21.884916798686998,10344.50245869436,358.14322448208037,76.8672603125202,13.563053282409216,17415.36844786986,10793.07599677137,stable
0.0116466564175775,8524.81255654866,294.9364602760697,59.74990450669437,10.640480749158362,17403.49478677597,602.1158957802168,121.9800605227163,21.72265372621165,10785.717362532316,373.1579174723018,75.5964519070212,13.462491661910725,18149.313396805115,11247.934223573548,stable
0.0125515512816132,8576.334208203276,297.11613708089953,61.54706572137148,11.154158401057508,17508.676782277842,606.5657289769096,125.6489841058633,22.771332072815607,10850.90330874654,375.9156764027903,77.87024652571019,14.112404130024455,18263.66282743343,11318.801635805065,unstable
0.0144962075671203,8328.862915031901,288.4614892807185,63.22653036852403,11.166813040816857,17003.461525987394,588.8971741702555,129.07762890449186,22.797166653414234,10537.799013985663,364.96568959360155,79.99512972805547,14.128414965085472,17744.233495715554,10996.888248272406,stable
0.0164388020833333,8087.428222861715,280.07619635841206,62.036613706248936,11.511811533976417,16510.570054338215,571.7785101889758,126.64840148262975,23.501484717573383,10232.332314983913,354.3564945101783,78.48962978666287,14.564912097783141,17232.498450727395,10679.743351378538,stable
0.0180883034613479,8126.42549649224,281.4286481418725,60.505233828392406,10.90574558061249,16590.183399948488,574.5395547757847,123.52207330308795,22.26419467866116,10281.672235187209,356.06763626093175,76.55210559740176,13.798108601204735,17310.50922270602,10728.090085646747,stable
0.0200439812947171,8272.91956068691,286.3414989352135,60.2097338489492,10.868487582511094,16889.252577785963,584.5691915100772,122.91880697698187,22.188132082396187,10467.01866494285,362.2834468432493,76.17823470724827,13.750969237805275,17618.928708355415,10919.231315731151,stable
0.0217447916666667,8306.487209971554,287.8162067660855,60.79328765364161,11.073754188379361,16957.78128800151,587.5798231077049,124.11013822683627,22.607186024219615,10509.488945117007,364.14926873089655,76.91655550450822,14.010675545735849,17692.078435360272,10964.565444898148,stable
0.0232218202597682,8210.962443770819,284.48534871532206,61.6600794265864,11.075250350173626,16762.766469839276,580.7798412503419,125.87970277756374,22.61024045430989,10388.629615656251,359.9350184735519,78.01323311626041,14.012568511491343,17492.036254321494,10840.590435757555,stable
0.0255345784337926,8104.190596022178,280.7773932060579,61.28291268429693,11.303471715931543,16544.79061601942,573.2100109523719,125.1097128933712,23.076156780663325,10253.540314342814,355.2436590037128,77.53603624490442,14.301317516918457,17266.186496645827,10700.621327108349,stable
0.0260416666666667,8150.639603177587,282.39473079390376,60.46747724145406,11.025152933696962,16639.616754250354,576.5118227038702,123.44499283245133,22.507966049952127,10312.308276644064,357.28993814317664,76.50433541212327,13.949184528427072,17362.081535836624,10760.05173472779,stable
0.0283125969229196,8277.984138006135,286.6962976951869,60.39728470491008,11.014486973326386,16899.59196582384,585.2935169223479,123.30169402843534,22.486191379309936,10473.426442141881,362.73234341666546,76.41552678963441,13.93568979957598,17630.673368153937,10926.510002147757,stable
0.0292898814089997,8269.229455159526,286.51849551289257,61.268998353252215,11.236437886525016,16881.71918841435,584.9305318910513,125.08130663972142,22.939306510598687,10462.34988953081,362.5073854985943,77.51843163002972,14.216505336836962,17614.67033345572,10916.59221199627,stable
0.0312174479166667,8156.289858598842,282.56173604352296,61.65825525111816,11.301503512356703,16651.15181031352,576.8527656831828,125.8759787040969,23.072138672297093,10319.457062332374,357.501235624324,78.01092514281355,14.298827317007396,17376.9526933731,10769.268050416518,stable
0.0332356770833333,8064.210682768246,279.4295584869253,61.1657953333101,11.039639617985447,16463.171201249294,570.458392151107,124.87061658552632,22.537540768788457,10202.957144135251,353.5383588301853,77.38785766178448,13.96751329298575,17181.037750754716,10647.850873920206,unstable
